,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,3.866308761414455e-64,0.0,0.0,0.0,1.073097575398668e-105,0.0,0.0,0.0,0.005689871752888723,0.0,0.9699228455233598,1.4400806857672082e-73,0.0,0.0,0.0,1.402474380099808e-45,0.0,0.012213154002324799,0.0,0.0,0.0,0.0,0.0,6.763209170445112e-267,0.0,0.004784006583778406,0.0,0.0,0.007390122137648322,0.0
11,7.981384691291884e-141,0.0,0.0,0.0,0.9196423822472762,0.0,1.111435829556736e-18,0.0,4.92482910268944e-124,0.0,3.66711686525143e-310,2.123090568505916e-06,0.0,0.0,0.0,0.01767263487230007,0.0,1.4084260734000394e-44,0.0,0.0,0.0,0.010298066855590577,0.0,0.0,0.0,0.0,0.0,7.745063260036175e-206,0.05238479293426464,0.0
12,0.0,0.0,2.3917821795019357e-222,0.0,0.0,0.0,0.0,0.0,0.0,5.014798018591136e-263,0.0,0.0,5.507842594486028e-15,0.8616716719189814,0.0,0.0,0.0,0.0,0.13832832808101317,0.0,0.0,0.0,0.0,0.0,2.185757461387302e-19,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6556373819208228,0.0005609239689924944,0.0,0.0,0.0,0.0,0.16034082905937638,0.0,0.0,0.0,0.0,0.0,0.18346086505080828,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.023906550294341366,0.0,0.0,5.3588497236021736e-107,0.0,0.0,0.0,4.0915494127317564e-68,0.0,0.0,0.015466165667317483,1.727819644158804e-45,0.9606272840383412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.452625471370279e-62,0.0,1.012023998898753e-255,0.0,0.0,0.0,0.0,0.0
15,3.805759148504688e-17,0.0,0.0,0.0,8.050026181353545e-18,0.0,8.187819660090777e-111,0.0,0.08138346219877556,0.0,9.287604892491538e-19,2.970037171152468e-16,0.0,0.0,0.0,1.8119744660277927e-16,9.042208993669873e-156,0.9186164688385343,0.0,0.0,0.0,1.2358396621934185e-80,0.0,3.2028848135707004e-177,0.0,6.112998416209252e-290,0.0,4.748683951765293e-301,6.896268971930985e-08,0.0
16,0.3394708986197291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104311776026817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.374092194528035e-244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25009792377758916,0.0,0.0
17,0.10160190424439233,0.0,0.0,0.0,0.013816513164295252,0.0,0.015641446459365632,0.0,0.0007288626177923929,0.0,0.004668706992215786,5.758079120592957e-18,0.0,0.0,0.0,0.8277038772779828,0.0,1.0093827992982612e-31,0.0,0.0,0.0,2.181573210327408e-37,0.0,2.6279393913743623e-258,0.0,2.1006557855336485e-308,0.0,0.007591461799345249,0.028247227444610414,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15623146250585865,0.8437685374941413,0.0,0.0,0.0,0.0,4.175052815285307e-24,0.0,0.0,0.0,0.0,0.0,8.13554007639861e-53,0.0,3.5347766220051134e-254,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13703554969861978,0.0,0.0,0.0,0.0,1.3280501196230382e-260,1.3973653656216686e-243,0.0,0.0,0.0,0.0,0.0,0.8629644503013786,5.765786427363088e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6869099445737631e-15
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.149364333149774e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819321003698555e-95,0.0,0.0,7.81481111265429e-13,2.2190905280262187e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999770276
21,6.147391701234523e-225,0.0,0.0,0.0,8.967390391146458e-35,0.0,0.9999362913578106,0.0,2.8429653560429696e-161,0.0,0.0,6.370864218948443e-05,0.0,0.0,0.0,3.0538664986392177e-156,0.0,2.6532256995035935e-110,0.0,0.0,0.0,2.266544804376114e-44,0.0,0.0,0.0,0.0,5.754404686935543e-121,1.988663122304506e-163,9.802424125132125e-268,0.0
